,id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,created_at,updated_at,nickname,family_name,first_name,tel,budget_min,budget_max,desired_area,residense_type,preference1,preference2,preference3,preference4,preference5,preference6,preference7,preference8,preference9,needs_1,needs_2,needs_3,needs_4,needs_5,needs_free_text,avatar,cluster,buyer_id,gender,birth_year,company_name,company_address,company_tel,company_size_min,company_size_max,company_age_min,company_age_max,trade_area,brokering_number_min,brokering_number_max,brokering_career_length_min,brokering_career_length_max,explanation_career,explanation_strength,explanation_license,agent_id
0,1,buyer1@test.com,$2a$12$CrzfTolyrAm2HQFUjIVayO9g5uex4tlXrfSLWaYKYYzk5v8Z0KJny,,,,,2022-01-21 11:17:05,,,2022-01-21 11:17:07.091790,2022-01-21 11:17:07.091790,Mitsugi Tanabe,田辺,充妃,9013243546,2000.0,4000.0,,1.0,4,2,2,2,2,2,4,1,3,5.0,4.0,5.0,4.0,1.0,フリーテキスト1フリーテキスト1フリーテキスト1フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,men02.png,100.0,1,,,,,,,,,,,,,,,,,,
1,2,buyer2@test.com,$2a$12$gJlFTSdrXGE4/Szg00Ze4euxCUpm6df9iEbpePu7R0oFAenoKTwTm,,,,,2022-01-21 11:17:07,,,2022-01-21 11:17:07.967005,2022-01-21 11:17:07.967005,Toshiki Tanaka,田中,登志樹,9013243546,2000.0,4000.0,,1.0,2,5,4,4,5,4,4,3,3,2.0,2.0,2.0,3.0,5.0,フリーテキスト2フリーテキスト2フリーテキスト2フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,unnamed02.png,100.0,2,,,,,,,,,,,,,,,,,,
2,3,buyer3@test.com,$2a$12$SBr7kJG0M/t8En2s.kuqZuKXeWmMEjZyTOKQ5ANAjGQgjM3l.3Mw.,,,,,2022-01-21 11:17:08,,,2022-01-21 11:17:09.162425,2022-01-21 11:17:09.162425,Masato Fukumoto,福本,大翔,9013243546,2000.0,4000.0,,1.0,1,2,5,2,1,2,3,5,5,3.0,4.0,1.0,2.0,3.0,フリーテキスト3フリーテキスト3フリーテキスト3フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,unnamed02.png,100.0,3,,,,,,,,,,,,,,,,,,
3,4,buyer4@test.com,$2a$12$jmlMam2zyKXoKwpMCiiX9uiZI03PW/sf28xMPAKGIYAP.l/O6sscW,,,,,2022-01-21 11:17:09,,,2022-01-21 11:17:10.412194,2022-01-21 11:17:10.412194,Masahiro Tashiro,田代,正浩,9013243546,2000.0,4000.0,,3.0,1,2,3,3,1,4,1,2,1,1.0,2.0,1.0,4.0,1.0,フリーテキスト4フリーテキスト4フリーテキスト4フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,women04.png,100.0,4,,,,,,,,,,,,,,,,,,
4,5,buyer5@test.com,$2a$12$umx.1lELU2usQIi.QnKtsOM1FCXIwiUFyjxzO1xUWcsRj/qZzufEe,,,,,2022-01-21 11:17:10,,,2022-01-21 11:17:11.482144,2022-01-21 11:17:11.482144,Renya Tsukada,塚田,蓮也,9013243546,2000.0,4000.0,,3.0,3,3,5,1,5,1,4,2,1,4.0,4.0,3.0,4.0,4.0,フリーテキスト5フリーテキスト5フリーテキスト5フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,men02.png,100.0,5,,,,,,,,,,,,,,,,,,
5,6,buyer6@test.com,$2a$12$qIipq64n70tq8EOPAqxCzehTeLlYzpOamNRO4jjBP2HNcS7as0twq,,,,,2022-01-21 11:17:11,,,2022-01-21 11:17:14.067527,2022-01-21 11:17:14.067527,Yoshinori Fujiwara,藤原,佳典,9013243546,2000.0,4000.0,,3.0,1,4,4,1,2,1,3,1,3,2.0,2.0,1.0,3.0,1.0,フリーテキスト6フリーテキスト6フリーテキスト6フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,men04.png,100.0,6,,,,,,,,,,,,,,,,,,
6,7,buyer7@test.com,$2a$12$bMNCkdQ3FV8YkGylCmDY1e9QDsmoCkEb9D01Vk4n7DVxfdt3MLIzG,,,,,2022-01-21 11:17:14,,,2022-01-21 11:17:16.718365,2022-01-21 11:17:16.718365,Harumi Inoue,井上,晴美,9013243546,2000.0,4000.0,,1.0,3,1,4,4,2,5,5,2,2,5.0,1.0,2.0,1.0,5.0,フリーテキスト7フリーテキスト7フリーテキスト7フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,men03.png,100.0,7,,,,,,,,,,,,,,,,,,
7,8,buyer8@test.com,$2a$12$9bjjcWwKW0ohb/U8hY1kY.8BXMkpRgRjXYaQn9ZrvrdHj64cLhNPm,,,,,2022-01-21 11:17:16,,,2022-01-21 11:17:18.265590,2022-01-21 11:17:18.265590,Riju Shibata,柴田,理珠,9013243546,2000.0,4000.0,,1.0,3,2,4,4,2,2,1,5,3,1.0,4.0,5.0,1.0,5.0,フリーテキスト8フリーテキスト8フリーテキスト8フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,women02.png,100.0,8,,,,,,,,,,,,,,,,,,
8,9,buyer9@test.com,$2a$12$N3J.eXM.IHIWhO7eb/uZGeDxcK1oJvr3vAE4qUiBh07ZVwGvexZgK,,,,,2022-01-21 11:17:18,,,2022-01-21 11:17:19.170269,2022-01-21 11:17:19.170269,Yuuya Tanigawa,谷川,悠也,9013243546,2000.0,4000.0,,2.0,2,1,5,2,2,5,4,3,1,3.0,4.0,4.0,2.0,3.0,フリーテキスト9フリーテキスト9フリーテキスト9フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,women05.png,100.0,9,,,,,,,,,,,,,,,,,,
9,10,buyer10@test.com,$2a$12$lA3qjPe1Bxv/950u6PewiOZREn./OyAAGLmLWprtg7JhXIw33sd6.,,,,,2022-01-21 11:17:19,,,2022-01-21 11:17:20.425336,2022-01-21 11:17:20.425336,Yoshiki Kataoka,片岡,好樹,9013243546,2000.0,4000.0,,2.0,4,5,5,2,3,5,4,1,3,2.0,4.0,5.0,1.0,5.0,フリーテキスト10フリーテキスト10フリーテキスト10フリーテキストフリーテキストフリーテキストフリーテキストフリーテキストフリーテキスト,men02.png,100.0,10,,,,,,,,,,,,,,,,,,
