"id","email","encrypted_password","reset_password_token","reset_password_sent_at","remember_created_at","confirmation_token","confirmed_at","confirmation_sent_at","unconfirmed_email","created_at","updated_at","nickname","family_name","first_name","gender","birth_year","tel","company_name","company_address","company_tel","company_size_min","company_size_max","company_age_min","company_age_max","trade_area","brokering_number_min","brokering_number_max","brokering_career_length_min","brokering_career_length_max","preference1","preference2","preference3","preference4","preference5","preference6","preference7","preference8","preference9","explanation_career","explanation_strength","explanation_license","avatar","cluster"
1,"agent1@test.com","$2a$12$nWERLgKTFrRfssxbP579yeCIK3XFrZndZrEQijqIVa/kwW8cdos16",NULL,NULL,NULL,NULL,"2022-01-21 11:16:50",NULL,NULL,"2022-01-21 11:16:51.473420","2022-01-21 11:16:51.473420","Shinji Araya","新谷","真次","男",1979,"09013243546","ダミー会社名","岩手県熊本市東区竹下","090232345432","6","10","0","1","岩手県",101,250,1,3,5,4,3,4,3,2,2,4,5,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women04.png",NULL
2,"agent2@test.com","$2a$12$ishdbeH82XNC0LNXb6Rn/OTM6VeO6GBAH5Z6zG5hE1kND86tOICBm",NULL,NULL,NULL,NULL,"2022-01-21 11:16:51",NULL,NULL,"2022-01-21 11:16:53.545566","2022-01-21 11:16:53.545566","Shouko Tahara","田原","翔己","女",1965,"09013243546","ダミー会社名","熊本県小千谷市北沢","090232345432","6","10","0","1","熊本県",101,250,1,3,4,5,3,4,4,4,3,5,1,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women05.png",NULL
3,"agent3@test.com","$2a$12$SU8ok4vUv9RiLgA.IHGQNOnrBdsdhs6Jy.ISIREgxunqWM21e3lgS",NULL,NULL,NULL,NULL,"2022-01-21 11:16:53",NULL,NULL,"2022-01-21 11:16:56.426966","2022-01-21 11:16:56.426966","Reimi Kajiwara","梶原","礼未","女",1990,"09013243546","ダミー会社名","沖縄県南国市和田山町岡田","090232345432","6","10","0","1","沖縄県",101,250,1,3,2,2,4,5,4,3,4,3,2,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women04.png",NULL
4,"agent4@test.com","$2a$12$4OqcUztx9FpKLSqBQYdWZOxWTIqUfzVdmUzQg2qyIH68fK2Hn0ooG",NULL,NULL,NULL,NULL,"2022-01-21 11:16:56",NULL,NULL,"2022-01-21 11:16:58.366580","2022-01-21 11:16:58.366580","Kotowa Niwa","丹羽","殊和","女",1964,"09013243546","ダミー会社名","宮崎県越智郡上島町翠ケ丘町","090232345432","6","10","0","1","宮崎県",101,250,1,3,4,2,5,4,2,4,1,5,5,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women01.png",NULL
5,"agent5@test.com","$2a$12$nB5Yc2i60M0/EBVEx2hwAuCXC0d/iKpqXLG63X.9PD6pKo1dRQACK",NULL,NULL,NULL,NULL,"2022-01-21 11:16:58",NULL,NULL,"2022-01-21 11:16:59.658179","2022-01-21 11:16:59.658179","Eri Sugiyama","杉山","枝李","女",1979,"09013243546","ダミー会社名","北海道井原市松島町","090232345432","6","10","0","1","北海道",101,250,1,3,5,3,1,1,4,1,5,2,5,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women03.png",NULL
6,"agent6@test.com","$2a$12$NldT.sS/oG4IXJ1cJna5m.V0ZhGbs2ABWaiwCCoi7D9kgePNI64UO",NULL,NULL,NULL,NULL,"2022-01-21 11:16:59",NULL,NULL,"2022-01-21 11:17:01.038658","2022-01-21 11:17:01.038658","Masamune Kanno","菅野","正宗","男",1995,"09013243546","ダミー会社名","山形県大阪市城東区萩原町河田方","090232345432","6","10","0","1","山形県",101,250,1,3,3,2,5,1,3,4,5,3,4,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women04.png",NULL
7,"agent7@test.com","$2a$12$GWCf3swtYxLrp3TSXZbRE.Nc1HX2f/iHW41vZzmYeFnYDWSJZss0u",NULL,NULL,NULL,NULL,"2022-01-21 11:17:01",NULL,NULL,"2022-01-21 11:17:02.374388","2022-01-21 11:17:02.374388","Hodaka Tajima","田島","帆高","女",1967,"09013243546","ダミー会社名","兵庫県中川郡幕別町竹田向代町川町","090232345432","6","10","0","1","兵庫県",101,250,1,3,4,5,1,1,1,3,1,4,3,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women03.png",NULL
8,"agent8@test.com","$2a$12$XHQ/mPwXd9Dkb3EyWKkxnuqqxG0qkEb/igKtB2OcLlTWx7s5H4ozC",NULL,NULL,NULL,NULL,"2022-01-21 11:17:02",NULL,NULL,"2022-01-21 11:17:03.329811","2022-01-21 11:17:03.329811","Riku Yamaoka","山岡","凌空","男",1980,"09013243546","ダミー会社名","福島県足立区栄町","090232345432","6","10","0","1","福島県",101,250,1,3,2,2,2,5,5,2,2,5,5,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women01.png",NULL
9,"agent9@test.com","$2a$12$bYgI.mJ6l0wCTGEOcQJtVupSQd3w5EPpFdbcRR0QiLuhy4rFcGIg2",NULL,NULL,NULL,NULL,"2022-01-21 11:17:03",NULL,NULL,"2022-01-21 11:17:04.502976","2022-01-21 11:17:04.502976","Takeaki Oomori","大森","健誠","男",1983,"09013243546","ダミー会社名","石川県亀田郡七飯町木曽川町内割田","090232345432","6","10","0","1","石川県",101,250,1,3,5,5,3,2,1,1,5,5,5,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women03.png",NULL
10,"agent10@test.com","$2a$12$MY9rCHO.IEgpKeUl1ihtr..SPMXYAjvrK1MyYsDcNJiODy1qGqYTq",NULL,NULL,NULL,NULL,"2022-01-21 11:17:04",NULL,NULL,"2022-01-21 11:17:05.834156","2022-01-21 11:17:05.834156","Masahiro Ishibashi","石橋","昌弘","男",1963,"09013243546","ダミー会社名","佐賀県横手市八尾町井田","090232345432","6","10","0","1","佐賀県",101,250,1,3,5,4,5,5,1,1,5,1,3,"ダミーテキスト","ダミーテキスト","ダミーテキスト","women01.png",NULL
